seed,acc,f1w,f1m
0,0.8666666666666667,0.8653416347381865,0.8653416347381865
1,0.8333333333333334,0.8281298003072196,0.8281298003072197
2,0.8333333333333334,0.827323717948718,0.827323717948718
3,0.8,0.7959480217544733,0.7959480217544733
4,0.8666666666666667,0.8614420062695926,0.8614420062695926
5,0.8666666666666667,0.8575151940158954,0.8575151940158953
6,0.8333333333333334,0.8311188811188811,0.8311188811188811
7,0.8666666666666667,0.866068920573926,0.8660689205739261
8,0.8,0.7955882352941176,0.7955882352941177
9,0.8333333333333334,0.8340773809523809,0.834077380952381
10,0.8666666666666667,0.8657692984723018,0.8657692984723018
11,0.8833333333333333,0.8829413082437276,0.8829413082437276
12,0.75,0.7462878787878787,0.7462878787878788
13,0.75,0.7513851553166069,0.7513851553166069
14,0.8333333333333334,0.8281298003072196,0.8281298003072197
15,0.85,0.8475681878809537,0.8475681878809537
16,0.8333333333333334,0.8291666666666667,0.8291666666666667
17,0.7833333333333333,0.7789046257796258,0.7789046257796258
18,0.85,0.8503217503217504,0.8503217503217504
19,0.85,0.847951612657495,0.8479516126574951
20,0.9,0.8994393321423355,0.8994393321423355
21,0.85,0.8351661779081134,0.8351661779081134
22,0.8833333333333333,0.8816991198456717,0.8816991198456716
23,0.85,0.8473168354633872,0.8473168354633872
24,0.85,0.8504399967872455,0.8504399967872454
25,0.85,0.8491392679900743,0.8491392679900744
26,0.9,0.8950146627565982,0.8950146627565982
27,0.9333333333333333,0.9342672413793104,0.9342672413793104
28,0.8333333333333334,0.8264452877925363,0.8264452877925363
29,0.8166666666666667,0.8163210445468511,0.8163210445468511
30,0.8833333333333333,0.8758301707779885,0.8758301707779886
31,0.8333333333333334,0.8311981162196679,0.831198116219668
32,0.85,0.846685572492024,0.8466855724920241
33,0.85,0.8446736453201971,0.8446736453201971
34,0.8666666666666667,0.8657692984723018,0.8657692984723018
35,0.9,0.898989898989899,0.898989898989899
36,0.85,0.8482199440820131,0.8482199440820131
37,0.8666666666666667,0.8602986453201971,0.8602986453201971
38,0.9166666666666666,0.9164622397902432,0.9164622397902431
39,0.8333333333333334,0.8329588779956426,0.8329588779956427
40,0.8666666666666667,0.8635318704284222,0.8635318704284222
41,0.7166666666666667,0.6832251082251081,0.6832251082251082
42,0.85,0.848993921817893,0.8489939218178929
43,0.85,0.8526757725033588,0.8526757725033587
44,0.8833333333333333,0.880003819709702,0.8800038197097021
45,0.8333333333333334,0.8244579009196701,0.8244579009196701
46,0.8166666666666667,0.8156920474282904,0.8156920474282904
47,0.8,0.8009835095485818,0.8009835095485818
48,0.9166666666666666,0.9136553970223324,0.9136553970223324
49,0.7833333333333333,0.7878899835796388,0.7878899835796387
50,0.9,0.8981556637806638,0.8981556637806638
51,0.85,0.8497844827586207,0.8497844827586207
52,0.9,0.8982267732267731,0.8982267732267732
53,0.85,0.8443473784498126,0.8443473784498126
54,0.85,0.8503072196620584,0.8503072196620584
55,0.7833333333333333,0.7754753601527795,0.7754753601527795
56,0.85,0.8486161642411643,0.8486161642411643
57,0.9166666666666666,0.9165514592933948,0.9165514592933948
58,0.7833333333333333,0.7735314685314685,0.7735314685314686
59,0.85,0.846932321315623,0.846932321315623
60,0.7833333333333333,0.7806178774928775,0.7806178774928775
61,0.8833333333333333,0.880003819709702,0.8800038197097021
62,0.85,0.8443473784498126,0.8443473784498126
63,0.8833333333333333,0.8836925287356323,0.8836925287356322
64,0.8666666666666667,0.8653416347381865,0.8653416347381865
65,0.8333333333333334,0.8287702839756592,0.8287702839756592
66,0.8333333333333334,0.8307712508080155,0.8307712508080155
67,0.75,0.7457536907536908,0.7457536907536908
68,0.8,0.7876696572348745,0.7876696572348746
69,0.8666666666666667,0.8640121452621453,0.8640121452621452
70,0.9166666666666666,0.9169662720483077,0.9169662720483076
71,0.8833333333333333,0.8787996277915633,0.8787996277915633
72,0.8666666666666667,0.8652641612200436,0.8652641612200436
73,0.8166666666666667,0.8142815789874613,0.8142815789874612
74,0.8166666666666667,0.8143785763692385,0.8143785763692385
75,0.8166666666666667,0.8142834987593053,0.8142834987593053
76,0.85,0.8473168354633872,0.8473168354633872
77,0.8,0.7996767241379311,0.799676724137931
78,0.8,0.7966543260660909,0.7966543260660908
79,0.7666666666666667,0.7599816849816851,0.759981684981685
80,0.85,0.8503217503217504,0.8503217503217504
81,0.8166666666666667,0.8046815428280946,0.8046815428280946
82,0.85,0.847064393939394,0.847064393939394
83,0.8333333333333334,0.8324752554278416,0.8324752554278416
84,0.8666666666666667,0.8637806637806638,0.8637806637806638
85,0.9,0.8950146627565982,0.8950146627565982
86,0.9166666666666666,0.91408000601549,0.9140800060154899
87,0.7833333333333333,0.7705797101449275,0.7705797101449275
88,0.8833333333333333,0.8787996277915633,0.8787996277915633
89,0.8333333333333334,0.8285595510811029,0.8285595510811028
90,0.8666666666666667,0.8672936259143157,0.8672936259143156
91,0.8666666666666667,0.865203761755486,0.8652037617554859
92,0.8166666666666667,0.8105285917785917,0.8105285917785918
93,0.7833333333333333,0.7781780162550304,0.7781780162550304
94,0.9,0.8976005085015096,0.8976005085015096
95,0.8333333333333334,0.825134307846077,0.825134307846077
96,0.9166666666666666,0.9136553970223324,0.9136553970223324
97,0.9,0.8977225209080048,0.8977225209080048
98,0.8666666666666667,0.865203761755486,0.8652037617554859
99,0.8833333333333333,0.8829800969331002,0.8829800969331003
