seed,acc,f1w,f1m
0,0.8833333333333333,0.8816991198456717,0.8816991198456716
1,0.7,0.6849979831069931,0.6849979831069931
2,0.7666666666666667,0.7569896331738437,0.7569896331738437
3,0.7333333333333333,0.7262573099415205,0.7262573099415204
4,0.8666666666666667,0.8678614097968936,0.8678614097968936
5,0.7666666666666667,0.750989750989751,0.750989750989751
6,0.7,0.6869531668631443,0.6869531668631443
7,0.8833333333333333,0.8825652841781874,0.8825652841781875
8,0.7666666666666667,0.7663359587719988,0.7663359587719989
9,0.7833333333333333,0.7773874553143026,0.7773874553143025
10,0.6666666666666666,0.5809523809523809,0.5809523809523809
11,0.8333333333333334,0.8316802682611506,0.8316802682611506
12,0.7333333333333333,0.7256138621992281,0.7256138621992281
13,0.85,0.8442588325652841,0.8442588325652842
14,0.75,0.7411437908496732,0.7411437908496732
15,0.7666666666666667,0.750989750989751,0.750989750989751
16,0.7166666666666667,0.7098535997635772,0.7098535997635772
17,0.75,0.7469854538820057,0.7469854538820057
18,0.7333333333333333,0.7301711460446246,0.7301711460446247
19,0.7333333333333333,0.6755172565960964,0.6755172565960963
20,0.65,0.567472382689774,0.5674723826897741
21,0.7166666666666667,0.6999722838137472,0.6999722838137472
22,0.7166666666666667,0.6957035595105673,0.6957035595105673
23,0.8,0.7988153594771241,0.7988153594771241
24,0.8666666666666667,0.8630613535736875,0.8630613535736875
25,0.7833333333333333,0.7802968409586056,0.7802968409586056
26,0.85,0.8402820910973084,0.8402820910973084
27,0.8166666666666667,0.8096514604666779,0.8096514604666779
28,0.8833333333333333,0.8830041486291486,0.8830041486291487
29,0.7833333333333333,0.780647721454173,0.780647721454173
30,0.8333333333333334,0.8298076923076924,0.8298076923076924
31,0.7833333333333333,0.767880670054583,0.7678806700545832
32,0.7333333333333333,0.7172688993341167,0.7172688993341169
33,0.9,0.8999025168380007,0.8999025168380007
34,0.8166666666666667,0.8138392857142857,0.8138392857142858
35,0.7,0.6166110493140526,0.6166110493140526
36,0.65,0.6467425679949399,0.6467425679949399
37,0.8,0.789495044429255,0.789495044429255
38,0.7166666666666667,0.6840233204963629,0.6840233204963628
39,0.75,0.7258574758574758,0.7258574758574758
40,0.65,0.6210298578480937,0.6210298578480937
41,0.6833333333333333,0.6217249830966869,0.6217249830966869
42,0.7833333333333333,0.7779882154882155,0.7779882154882155
43,0.9,0.9004852674207513,0.9004852674207513
44,0.75,0.7386142122984228,0.738614212298423
45,0.7833333333333333,0.7756446452098625,0.7756446452098625
46,0.7333333333333333,0.7254765519568152,0.7254765519568152
47,0.8166666666666667,0.8187146506112023,0.8187146506112023
48,0.7333333333333333,0.7198598502946328,0.719859850294633
49,0.8833333333333333,0.8816991198456717,0.8816991198456716
50,0.65,0.5713404812242022,0.5713404812242022
51,0.75,0.7290739710789768,0.7290739710789766
52,0.8166666666666667,0.8201493270458788,0.8201493270458787
53,0.7333333333333333,0.7272959504496008,0.7272959504496007
54,0.8833333333333333,0.8829800969331002,0.8829800969331003
55,0.5666666666666667,0.5295744680851064,0.5295744680851064
56,0.7333333333333333,0.7339602925809824,0.7339602925809823
57,0.85,0.8474407944996181,0.8474407944996181
58,0.8333333333333334,0.825134307846077,0.825134307846077
59,0.6,0.510014985014985,0.510014985014985
60,0.8666666666666667,0.8642810437165276,0.8642810437165277
61,0.85,0.8467999249249248,0.846799924924925
62,0.7333333333333333,0.7301771504357712,0.730177150435771
63,0.6833333333333333,0.6542614157344582,0.6542614157344582
64,0.8666666666666667,0.8654600301659126,0.8654600301659126
65,0.7833333333333333,0.7758333333333333,0.7758333333333334
66,0.7166666666666667,0.6762955619857346,0.6762955619857345
67,0.5333333333333333,0.44202898550724634,0.44202898550724634
68,0.8833333333333333,0.8829077060931899,0.88290770609319
69,0.85,0.8413861617578308,0.8413861617578308
70,0.7666666666666667,0.757272897897898,0.7572728978978979
71,0.75,0.7280284749034749,0.7280284749034749
72,0.7833333333333333,0.7854113013179821,0.785411301317982
73,0.6833333333333333,0.6689130434782609,0.6689130434782609
74,0.85,0.8469951617010439,0.846995161701044
75,0.6666666666666666,0.6388427033492822,0.6388427033492823
76,0.8333333333333334,0.8287702839756592,0.8287702839756592
77,0.8,0.7984075780849974,0.7984075780849974
78,0.7666666666666667,0.760647721454173,0.7606477214541731
79,0.6666666666666666,0.650705329153605,0.650705329153605
80,0.7,0.680650918904147,0.680650918904147
81,0.8,0.7953869047619048,0.7953869047619048
82,0.7666666666666667,0.7596288515406162,0.7596288515406162
83,0.6833333333333333,0.632795705491499,0.6327957054914989
84,0.8666666666666667,0.8623511904761905,0.8623511904761906
85,0.7833333333333333,0.7802468814968815,0.7802468814968815
86,0.7666666666666667,0.7352362761743068,0.7352362761743068
87,0.6666666666666666,0.6132421340629275,0.6132421340629275
88,0.8333333333333334,0.823682628731717,0.8236826287317172
89,0.9,0.8979509737574254,0.8979509737574254
90,0.8166666666666667,0.8152338761174968,0.8152338761174968
91,0.7666666666666667,0.7610161122661123,0.7610161122661123
92,0.7,0.6705547176135411,0.6705547176135411
93,0.6333333333333333,0.5781578462105846,0.5781578462105845
94,0.7833333333333333,0.7730671788166067,0.7730671788166067
95,0.7833333333333333,0.7790368928439005,0.7790368928439007
96,0.75,0.7383419479071652,0.7383419479071653
97,0.7166666666666667,0.6916241653083759,0.6916241653083758
98,0.8666666666666667,0.8646634615384615,0.8646634615384615
99,0.6833333333333333,0.6090352917382951,0.6090352917382951
